block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,3.31499981880188,delay,56685.00018119812,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),56992.09999996424,A,towerenter,O,enter,270,1,3313.099999964237,53679.0,7012,DWL,C,1
8,5.883999824523926,delay,54116.000175476074,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),59558.0,A,wheatenter,O,enter,317,1,2565.0,56993.0,7012,DWL,C,2
8,8.0,delay,52000.0,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),61673.89999997616,A,queenenter,O,enter,254,1,2115.5,59558.39999997616,7012,DWL,C,3
8,9.41599988937378,delay,50584.00011062622,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),63090.19999998808,A,sugarenter,O,enter,111,1,1415.800000011921,61674.39999997616,7012,DWL,C,4
8,11.066999912261963,delay,48933.00008773804,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),64740.69999998808,A,homeenter,O,enter,229,1,1650.1000000238419,63090.59999996424,7012,DWL,C,5
8,12.482999801635742,delay,47517.00019836426,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),66156.80000001192,A,boyenter,O,enter,246,1,1415.7000000476837,64741.09999996424,7012,DWL,C,6
8,16.496999979019165,delay,43503.000020980835,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),70171.09999996424,A,doctorenter,O,enter,488,1,4013.899999976158,66157.19999998808,7012,DWL,C,7
8,20.84599995613098,delay,39154.00004386902,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),74519.69999998808,A,campenter,O,enter,493,1,4348.100000023842,70171.59999996424,7012,DWL,C,8
8,24.494999885559082,delay,35505.00011444092,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),78168.39999997616,A,letterenter,O,enter,176,1,3648.300000011921,74520.09999996424,7012,DWL,C,9
8,26.3439998626709,delay,33656.0001373291,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),80018.0,A,flagenter,O,enter,333,1,1849.199999988079,78168.80000001192,7012,DWL,C,10
8,31.825999975204468,delay,28174.000024795532,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),85499.39999997616,A,shoreenter,O,enter,114,1,5481.099999964237,80018.30000001192,7012,DWL,C,11
8,35.10799980163574,delay,24892.000198364258,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),88781.69999998808,A,bodyenter,O,enter,487,1,3282.0,85499.69999998808,7012,DWL,C,12
8,45.07099986076355,delay,14929.00013923645,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),98745.09999996424,A,cattleenter,O,enter,240,1,9963.0,88782.09999996424,7012,DWL,C,13
8,60.01699995994568,delay,-16.99995994567871,Thu Aug 29 2024 17:39:57 GMT-0500 (Central Daylight Time),113690.5,A,None,O,None,14939,1,14945.100000023842,98745.39999997616,7012,DWL,C,14
