block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.4659998416900635,delay,57534.00015830994,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),29767.39999961853,A,streetenter,I,enter,334,3,2465.1000003814697,27302.29999923706,9002,DWL,B,1
8,5.148999929428101,delay,54851.0000705719,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),32450.69999885559,A,grassenter,I,enter,771,3,2682.2999992370605,29768.39999961853,9002,DWL,B,2
8,6.748999834060669,delay,53251.00016593933,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),34050.39999961853,A,doorenter,I,enter,434,3,1599.1000003814697,32451.29999923706,9002,DWL,B,3
8,8.448999881744385,delay,51551.000118255615,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),35750.79999923706,A,armenter,I,enter,643,3,1700.0,34050.79999923706,9002,DWL,B,4
8,10.23199987411499,delay,49768.00012588501,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),37534.09999847412,A,starenter,I,enter,752,3,1782.8999996185303,35751.19999885559,9002,DWL,B,5
8,11.6489999294281,delay,48351.0000705719,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),38950.69999885559,A,wifeenter,I,enter,394,3,1416.1999988555908,37534.5,9002,DWL,B,6
8,13.781999826431274,delay,46218.000173568726,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),41084.0,A,windowenter,I,enter,225,3,2132.800001144409,38951.19999885559,9002,DWL,B,7
8,16.1489999294281,delay,43851.0000705719,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),43450.69999885559,A,cityenter,I,enter,620,3,2366.2999992370605,41084.39999961853,9002,DWL,B,8
8,19.931999921798706,delay,40068.000078201294,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),47234.09999847412,A,pupilenter,I,enter,1265,3,3783.0,43451.09999847412,9002,DWL,B,9
8,22.566999912261963,delay,37433.00008773804,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),49868.5,A,cabinenter,I,enter,848,3,2633.900001525879,47234.59999847412,9002,DWL,B,10
8,25.715999841690063,delay,34284.00015830994,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),53017.39999961853,A,lakeenter,I,enter,1700,3,3148.5,49868.89999961853,9002,DWL,B,11
8,33.115999937057495,delay,26884.000062942505,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),60417.5,A,fireenter,I,enter,533,3,7399.700000762939,53017.79999923706,9002,DWL,B,12
8,35.531999826431274,delay,24468.000173568726,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),62834.09999847412,A,pipeenter,I,enter,898,3,2416.2999992370605,60417.79999923706,9002,DWL,B,13
8,37.54899978637695,delay,22451.000213623047,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),64850.69999885559,A,clockenter,I,enter,364,3,2016.2999992370605,62834.39999961853,9002,DWL,B,14
8,60.01599979400635,delay,-15.999794006347656,Fri Jan 17 2025 14:27:28 GMT-0500 (Eastern Standard Time),87318.09999847412,A,None,I,None,13290,3,22467.0,64851.09999847412,9002,DWL,B,15
